Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
4-October-2019,83.00,83.80,80.00,80.60,81.632633253282599881,801575,3576,65434678.00,166396,20.76,3.80,-2.40
3-October-2019,84.10,85.90,81.00,82.05,82.895372280026881097,906213,4008,75120864.00,180982,19.97,4.90,-2.05
1-October-2019,85.25,86.55,80.20,83.15,83.517775979451335376,1675632,6465,139945058.00,248735,14.84,6.35,-2.10
30-September-2019,93.20,93.80,83.85,84.75,86.916348333358785453,1833508,8669,159361820.00,505607,27.58,9.95,-8.45
27-September-2019,96.00,96.15,92.90,93.15,94.078951175406871609,774200,2828,72835924.00,152125,19.65,3.25,-2.85
26-September-2019,94.95,96.65,93.20,96.00,95.011081027045161115,1180396,4243,112150700.00,130154,11.03,3.45,1.05
25-September-2019,96.70,96.70,93.25,94.15,94.612493146660160912,762402,3256,72132754.00,178979,23.48,3.45,-2.55
24-September-2019,100.00,101.15,96.65,97.10,98.752945570800485855,1062867,4025,104961247.00,194658,18.31,4.50,-2.90
23-September-2019,102.70,104.40,97.35,99.10,100.858939974027546948,2229285,8793,224843322.00,409653,18.38,7.05,-3.60
20-September-2019,91.90,100.35,90.10,99.10,96.315049921343251725,2023984,7954,194940120.00,452106,22.34,10.25,7.20
19-September-2019,92.50,92.50,89.60,90.75,90.615722497830107842,721234,2715,65355140.00,136037,18.86,2.90,-1.75
18-September-2019,92.30,93.25,91.60,92.15,92.451890378929133723,703113,2282,65004126.00,118183,16.81,1.65,-0.15
17-September-2019,95.30,95.55,91.55,91.85,93.486845593715765445,1199446,3318,112132423.00,176445,14.71,4.00,-3.45
16-September-2019,93.25,96.35,92.00,94.90,94.537395106285668834,804624,3321,76067057.00,85212,10.59,4.35,1.65
13-September-2019,96.95,96.95,90.80,93.35,92.484278829322721296,1602457,6687,148202080.00,184990,11.54,6.15,-3.60
12-September-2019,97.60,99.25,95.80,96.20,97.581758923395341441,798659,3454,77934550.00,110212,13.80,3.45,-1.40
11-September-2019,93.25,97.90,92.65,96.75,96.138144435563262988,1209799,4855,116307831.00,159349,13.17,5.25,3.50
9-September-2019,92.20,93.70,91.00,92.90,92.427792827882895419,715019,2794,66087628.00,112791,15.77,2.70,0.70
6-September-2019,92.00,93.45,90.95,91.85,92.335859118399204935,825090,2639,76185394.00,373469,45.26,2.50,-0.15
5-September-2019,93.00,93.95,91.45,91.70,92.398667190700942218,862539,2769,79697454.00,100634,11.67,2.50,-1.30
4-September-2019,92.50,92.70,89.55,91.30,90.964960898944651127,1027338,3261,93451761.00,82747,8.05,3.15,-1.20
3-September-2019,94.00,94.30,91.15,91.95,93.098328453283909854,513656,1881,47820515.00,131779,25.66,3.15,-2.05
30-August-2019,94.15,94.70,91.55,94.35,93.158687279572451695,924340,2930,86110301.00,71682,7.75,3.15,0.20
29-August-2019,95.50,95.90,91.90,93.05,93.618216022705654699,1040798,3463,97437652.00,253421,24.35,4.00,-2.45
28-August-2019,98.30,98.95,92.90,94.70,95.638180987669103576,901962,3818,86262005.00,149965,16.63,6.05,-3.60
27-August-2019,97.00,99.65,96.95,98.20,98.310995783957853702,1132816,3945,111368269.00,160409,14.16,2.70,1.20
26-August-2019,94.00,96.65,89.40,95.95,92.497805630262451403,1672462,7440,154699065.00,286784,17.15,7.25,1.95
23-August-2019,93.00,93.40,88.60,89.90,90.107863006553586697,1541446,7129,138896405.00,260097,16.87,4.80,-3.10
22-August-2019,97.50,97.50,92.05,93.10,94.460150752105121819,815511,3385,77033292.00,124305,15.24,5.45,-4.40
21-August-2019,98.00,98.85,95.50,96.60,97.026194688306999865,722971,3185,70147125.00,92417,12.78,3.35,-1.40
20-August-2019,105.00,105.00,97.30,98.15,99.078577051223532048,1463468,6731,144998327.00,198420,13.56,7.70,-6.85
19-August-2019,106.30,106.35,103.70,104.80,105.096679105344244272,516668,2252,54300091.00,59559,11.53,2.65,-1.50
16-August-2019,103.80,105.85,102.30,105.00,104.220676785944093362,590556,2471,61548146.00,66144,11.20,3.55,1.20
14-August-2019,101.90,104.45,101.00,103.80,102.935270541978236212,670931,3170,69062464.00,66238,9.87,3.45,1.90
13-August-2019,105.95,105.95,100.15,100.75,102.679695852581042099,793168,3232,81442249.00,74489,9.39,5.80,-5.20
9-August-2019,101.00,107.10,100.00,104.00,104.214695672657156922,1417914,7474,147767476.00,155559,10.97,7.10,3.00
8-August-2019,96.40,100.00,96.05,99.45,97.882669438972787626,822420,3322,80500665.00,104562,12.71,3.95,3.05
7-August-2019,99.90,101.75,95.60,96.20,99.241992742435201054,965062,4774,95774676.00,146178,15.15,6.15,-3.70
6-August-2019,94.10,99.55,94.10,98.70,97.433789258527687774,872804,3425,85040601.00,107726,12.34,5.45,4.60
5-August-2019,94.90,96.95,92.00,94.80,94.628354728907689304,747974,3164,70779549.00,77342,10.34,4.95,-0.10
2-August-2019,95.50,97.00,92.80,95.25,94.943422186086577944,1074962,5056,102060571.00,136429,12.69,4.20,-0.25
1-August-2019,97.40,100.35,94.20,96.20,97.143484377591030421,934715,4637,90801472.00,162923,17.43,6.15,-1.20
31-July-2019,97.00,99.40,94.15,99.05,97.031807255683062975,972231,4301,94337331.00,133391,13.72,5.25,2.05
30-July-2019,102.05,102.90,97.20,97.75,99.823494978218780251,661120,4813,65995309.00,152210,23.02,5.70,-4.30
29-July-2019,104.45,104.45,99.60,101.10,101.337598155260985543,732895,4034,74269819.00,124062,16.93,4.85,-3.35
26-July-2019,102.00,106.10,101.85,103.80,104.103908663901326265,801348,3943,83423459.00,104582,13.05,4.25,1.80
25-July-2019,102.90,104.00,100.25,102.15,102.059907685278325656,836053,4235,85327492.00,116012,13.88,3.75,-0.75
24-July-2019,107.65,108.50,102.40,102.75,104.361761964366561026,1126470,5437,117560394.00,219539,19.49,6.10,-4.90
23-July-2019,108.50,109.05,106.75,107.50,107.934061878287311583,680077,3086,73403473.00,115725,17.02,2.30,-1.00
22-July-2019,107.80,110.65,105.70,108.10,108.083037335372091690,1640214,6255,177279311.00,228296,13.92,4.95,0.30
19-July-2019,117.40,117.50,109.85,110.50,113.376839719798923559,1041395,5601,118070074.00,249281,23.94,7.65,-6.90
18-July-2019,122.50,122.50,116.80,117.20,118.728234549663714774,902359,3861,107135491.00,160761,17.82,5.70,-5.30
17-July-2019,120.20,123.85,120.20,122.35,121.984626648048762119,809973,2669,98804254.00,403702,49.84,3.65,2.15
16-July-2019,122.35,122.35,118.60,120.70,120.007675260205539476,731441,3193,87778534.00,119283,16.31,3.75,-1.65
15-July-2019,121.60,125.90,120.20,121.35,122.205921898817207564,856786,4251,104704323.00,116830,13.64,5.70,-0.25
12-July-2019,119.30,122.80,119.10,120.45,121.046049173130948096,530737,3234,64243617.00,77897,14.68,3.70,1.15
11-July-2019,119.50,120.85,117.70,119.90,119.369204956222196135,494086,2723,58978653.00,80521,16.30,3.15,0.40
10-July-2019,121.10,122.60,117.55,119.15,119.735905217875274054,650418,3388,77878388.00,93957,14.45,5.05,-1.95
9-July-2019,120.25,123.10,119.35,121.65,121.186459133718249873,683265,3408,82802466.00,83616,12.24,3.75,1.40
8-July-2019,125.50,125.50,119.35,121.10,121.912790793394688750,1093302,4582,133287498.00,195255,17.86,6.15,-4.40
5-July-2019,122.60,127.10,119.55,123.90,124.124049936571543741,2108675,9707,261737281.00,434230,20.59,7.55,1.30
4-July-2019,120.60,121.85,119.40,120.10,120.594368323708149322,662325,3311,79872665.00,168745,25.48,2.45,-0.50
3-July-2019,117.55,120.60,116.35,119.60,118.790996719888852650,696013,4134,82680078.00,135478,19.46,4.25,2.05
2-July-2019,118.00,118.00,114.80,116.55,116.080022966142490372,398848,2109,46298285.00,85218,21.37,3.20,-1.45
1-July-2019,115.50,117.60,114.85,117.30,116.257225477571111805,262474,1647,30514499.00,63835,24.32,2.75,1.80
28-June-2019,116.10,117.15,114.30,115.10,115.952886859676792815,898433,2381,104175900.00,88018,9.80,2.85,-1.00
27-June-2019,116.85,117.20,114.50,116.05,115.870193224225235882,382923,2233,44369362.00,111146,29.03,2.70,-0.80
26-June-2019,113.50,116.15,112.10,115.55,114.715812438874977162,465235,2477,53369811.00,121417,26.10,4.05,2.05
25-June-2019,115.00,115.00,112.00,113.15,112.900691271974825319,348922,1756,39393535.00,82986,23.78,3.00,-1.85
24-June-2019,114.50,115.15,112.35,113.75,113.622175145128896470,363470,1827,41298252.00,108898,29.96,2.80,-0.75
21-June-2019,114.85,115.85,111.70,114.20,113.901403540707488927,582313,3777,66326268.00,86018,14.77,4.15,-0.65
20-June-2019,108.00,114.10,106.20,113.45,110.189510098769084126,851886,5119,93868901.00,136532,16.03,7.90,5.45
19-June-2019,118.05,120.15,107.40,109.70,112.910235214712350042,1377890,7088,155577884.00,335802,24.37,12.75,-8.35
18-June-2019,118.00,120.70,115.40,117.15,118.415831341965896593,857451,3469,101535773.00,179759,20.96,5.30,-0.85
17-June-2019,120.35,121.00,117.00,117.35,118.364468415655728149,420319,2411,49750835.00,137935,32.82,4.00,-3.00
14-June-2019,121.80,123.00,120.00,120.60,121.393025614727054023,265199,1804,32193309.00,82415,31.08,3.00,-1.20
13-June-2019,121.85,122.30,118.35,122.05,120.655626264992683685,781131,3276,94247850.00,294376,37.69,3.95,0.20
12-June-2019,125.10,126.20,121.20,121.95,123.475774734736541310,398943,3936,49259796.00,131391,32.93,5.00,-3.15
11-June-2019,124.50,125.80,121.90,124.90,123.759415048708270234,442430,2772,54754878.00,89751,20.29,3.90,0.40
10-June-2019,126.05,127.15,123.15,124.10,124.616840300369721139,653195,2746,81399097.00,309510,47.38,4.00,-1.95
7-June-2019,127.50,129.65,124.05,124.90,126.305800557583637545,639904,3685,80823587.00,204545,31.96,5.60,-2.60
6-June-2019,136.45,136.45,126.25,126.80,129.389874468059885492,1265415,6717,163731888.00,394719,31.19,10.20,-9.65
4-June-2019,136.00,137.85,135.40,136.35,136.686313856997845888,298499,1981,40800728.00,91512,30.66,2.45,0.35
3-June-2019,134.05,136.80,132.65,136.15,135.287534889813685875,396964,2745,53704281.00,118690,29.90,4.15,2.10
31-May-2019,132.00,136.95,131.40,134.05,133.947803595090546491,896556,4445,120091707.00,163366,18.22,5.55,2.05
30-May-2019,133.00,133.90,130.85,131.60,132.233149252416062039,340430,2353,45016131.00,126289,37.10,3.05,-1.40
29-May-2019,130.85,134.15,129.75,132.85,132.729265497943571377,722612,6063,95911760.00,232285,32.15,4.40,2.00
28-May-2019,128.60,131.65,127.80,130.85,130.089009445981527296,553357,6007,71985664.00,168094,30.38,3.85,2.25
27-May-2019,129.80,130.00,127.45,127.80,128.573612249489738521,497784,5269,64001887.00,164406,33.03,2.55,-2.00
24-May-2019,124.40,129.00,124.40,128.10,127.388187724675293395,996438,9788,126934431.00,326970,32.81,4.60,3.70
23-May-2019,125.00,128.85,122.70,123.55,125.998499355356878659,851634,4643,107304606.00,160457,18.84,6.15,-1.45
22-May-2019,125.00,125.00,120.40,123.15,122.503625085934542982,647295,3253,79295984.00,129289,19.97,4.60,-1.85
21-May-2019,127.00,130.35,123.70,124.80,126.554185164588301458,636558,3670,80559079.00,122633,19.26,6.65,-2.20
20-May-2019,122.00,127.00,121.65,126.10,124.763499390747577822,876484,4773,109353211.00,229091,26.14,5.35,4.10
17-May-2019,116.70,118.00,115.90,117.20,117.035513336828296640,413929,2106,48444393.00,128994,31.16,2.10,0.50
16-May-2019,117.40,118.50,114.45,116.85,115.698602928410208924,431975,2409,49978904.00,113860,26.36,4.05,-0.55
15-May-2019,119.00,119.75,115.65,116.25,117.621845736590371822,436552,2572,51348052.00,103297,23.66,4.10,-2.75
14-May-2019,114.95,119.80,113.70,118.40,117.681263520237828829,549639,3005,64682212.00,140851,25.63,6.10,3.45
13-May-2019,121.00,121.00,114.30,114.90,117.062084588991042781,574732,3367,67279326.00,212695,37.01,6.70,-6.10
10-May-2019,120.50,122.90,119.75,121.00,121.300635088587705575,440411,2417,53422134.00,110343,25.05,3.15,0.50
9-May-2019,120.00,122.45,118.65,120.85,120.727355690560970936,725403,3740,87575986.00,234510,32.33,3.80,0.85
8-May-2019,123.00,123.05,118.20,118.70,120.143918385751324540,620970,3505,74605769.00,249146,40.12,4.85,-4.30
7-May-2019,125.00,125.45,122.00,122.45,123.906023291945403885,389405,2403,48249625.00,148674,38.18,3.45,-2.55
6-May-2019,126.00,127.85,123.15,123.75,125.165351980785451842,559576,3395,70039527.00,234817,41.96,4.70,-2.25
3-May-2019,130.10,131.25,126.30,127.25,127.706118302227573750,664400,4303,84847945.00,196650,29.60,4.95,-2.85
2-May-2019,131.95,133.95,129.40,130.85,131.659934402057208334,450319,2557,59288970.00,138130,30.67,4.55,-1.10
30-April-2019,136.75,136.75,129.70,131.10,131.546008014535791906,886639,6401,116633821.00,249036,28.09,7.05,-5.65
26-April-2019,138.00,138.85,136.40,137.85,137.677704966704839462,282924,1605,38952327.00,53082,18.76,2.45,-0.15
25-April-2019,139.95,140.40,136.60,137.20,138.300067484496018802,515674,2906,71317749.00,93329,18.10,3.80,-2.75
24-April-2019,139.00,140.85,138.25,139.75,139.356055677923224115,262869,2952,36632387.00,67426,25.65,2.60,0.75
23-April-2019,140.90,142.20,137.90,139.40,140.076856748677856978,400108,2521,56045871.00,86947,21.73,4.30,-1.50
22-April-2019,146.20,146.60,140.00,140.60,143.286410013442341171,363032,2125,52017552.00,121357,33.43,6.60,-5.60
18-April-2019,149.05,150.75,145.05,146.15,146.932494064725727852,352132,1743,51739633.00,84593,24.02,5.70,-2.90
16-April-2019,152.20,152.20,149.00,149.40,150.657394749551820957,244322,1470,36808916.00,60973,24.96,3.20,-2.80
15-April-2019,147.95,151.70,146.95,150.90,149.934651812606597234,551140,2603,82634984.00,201382,36.54,4.75,2.95
12-April-2019,147.85,148.25,145.90,146.95,146.897416827990343002,267578,1366,39306517.00,71882,26.86,2.35,-0.90
11-April-2019,146.35,147.80,144.50,147.05,145.974682455486423717,383647,2083,56002749.00,73291,19.10,3.30,0.70
10-April-2019,148.95,149.35,145.10,145.45,147.347396387538219091,593944,3942,87516102.00,178856,30.11,4.25,-3.50
9-April-2019,148.75,149.00,145.25,147.85,147.038747313803284494,378323,2227,55628140.00,61443,16.24,3.75,-0.90
8-April-2019,152.55,153.10,147.65,148.70,149.956927541394522434,460387,2106,69038220.00,84326,18.32,5.45,-3.85
5-April-2019,150.00,152.40,148.70,152.00,150.623852859970879710,496561,2333,74793931.00,83107,16.74,3.70,2.00
4-April-2019,152.90,152.90,148.20,149.50,150.670629219563042552,476797,2354,71839304.00,126831,26.60,4.70,-3.40
3-April-2019,152.00,155.85,151.75,152.30,153.891126200604352282,719117,4358,110665725.00,139389,19.38,4.10,0.30
2-April-2019,152.20,153.05,149.60,150.75,151.303887752625922972,346164,1692,52375959.00,45582,13.17,3.45,-1.45
1-April-2019,153.00,154.65,151.30,152.20,153.061185043319192587,395783,2294,60579015.00,91536,23.13,3.35,-0.80
29-March-2019,153.30,153.30,150.55,152.45,152.001679765544253917,506023,2887,76916346.00,82100,16.22,2.75,-0.85
28-March-2019,155.00,155.45,151.70,153.50,153.379822653585637074,1246487,6681,191185955.00,264305,21.20,3.75,-1.50
27-March-2019,149.00,152.90,148.05,151.50,150.719946265539912479,942412,5030,142040286.00,234543,24.89,4.85,2.50
26-March-2019,144.65,148.45,144.50,147.60,147.038969919067155281,410958,2003,60426841.00,81153,19.75,3.95,2.95
25-March-2019,145.40,145.40,142.65,144.00,143.925854852298105082,299116,1570,43050526.00,61989,20.72,2.75,-1.40
22-March-2019,145.60,148.70,145.15,145.95,146.771409982198495362,524113,2383,76924804.00,149160,28.46,3.55,0.35
20-March-2019,146.80,147.60,143.95,145.50,145.565637766795498323,399229,1960,58114024.00,62012,15.53,3.65,-1.30
19-March-2019,149.90,149.90,145.80,146.80,147.552597534005001373,276724,1415,40831345.00,66925,24.18,4.10,-3.10
18-March-2019,147.95,150.20,146.55,148.70,149.180575367235130937,647065,3857,96529529.00,172234,26.62,3.65,0.75
15-March-2019,144.00,148.80,143.95,146.55,147.122818492597093917,668116,3622,98295109.00,162378,24.30,4.85,2.55
14-March-2019,145.10,146.55,143.05,143.45,144.176897386964180857,1907360,2375,274997247.00,1531451,80.29,3.50,-1.65
13-March-2019,147.85,147.85,144.40,145.10,145.888985530165256582,417351,1989,60886914.00,98182,23.53,3.45,-2.75
12-March-2019,146.70,148.60,145.75,146.85,147.059203722854188210,518312,3142,76222550.00,116933,22.56,2.85,0.15
11-March-2019,142.40,145.90,141.95,144.60,144.414680223996998248,458399,2823,66199545.00,136012,29.67,3.95,2.20
8-March-2019,141.40,143.45,139.65,141.70,142.092611646451255466,606468,3321,86174622.00,151279,24.94,3.80,0.30
7-March-2019,141.25,141.75,138.75,140.70,140.635010685995807643,487554,2301,68567162.00,140214,28.76,3.00,-0.55
6-March-2019,137.00,142.95,137.00,141.05,140.851134255067689258,1027194,5206,144681440.00,221910,21.60,5.95,4.05
5-March-2019,128.00,136.10,127.60,135.35,133.061557567253095477,1059691,5071,141004135.00,218123,20.58,8.50,7.35
1-March-2019,125.00,128.70,124.70,128.00,127.443043030077338643,555867,2699,70841382.00,137179,24.68,4.00,3.00
28-February-2019,124.30,125.80,123.35,124.30,124.055370289820050585,372438,1976,46202934.00,70818,19.01,2.45,0.00
27-February-2019,124.80,127.15,122.70,124.00,124.816808911133748701,599789,2809,74863749.00,82098,13.69,4.45,-0.80
26-February-2019,124.90,126.05,121.75,124.00,124.226493647983502266,565411,2834,70239026.00,89737,15.87,4.30,-0.90
25-February-2019,127.80,127.95,125.30,126.45,126.404791305813160068,361989,3794,45757144.00,117818,32.55,2.65,-1.35
22-February-2019,127.95,128.95,125.70,126.45,127.299498185906280341,489225,3681,62278097.00,101949,20.84,3.25,-1.50
21-February-2019,125.00,127.80,123.75,127.20,126.078260849874265890,883213,5039,111353959.00,280450,31.75,4.05,2.20
20-February-2019,124.00,124.50,122.70,124.25,123.757825605614245773,266465,1655,32977129.00,49586,18.61,1.80,0.25
19-February-2019,119.05,125.50,119.05,122.70,123.737652881070647749,437268,2517,54106516.00,65713,15.03,6.45,3.65
18-February-2019,125.00,127.10,121.50,121.95,123.872290737780768907,594350,6013,73623496.00,125957,21.19,5.60,-3.05
15-February-2019,125.50,127.75,123.10,125.75,125.075591110987197605,573877,2825,71778005.00,70984,12.37,4.65,0.25
14-February-2019,123.00,127.75,120.05,127.20,123.803497141822765417,905997,6677,112165597.00,204029,22.52,7.70,4.20
13-February-2019,127.10,127.10,122.50,122.85,124.148547589951009549,369868,2635,45918575.00,100338,27.13,4.60,-4.25
12-February-2019,125.50,128.00,124.85,125.60,126.422334573066790640,258120,1625,32632133.00,55946,21.67,3.15,0.10
11-February-2019,128.85,128.85,123.80,125.60,125.563964781148234570,623984,2864,78349905.00,96782,15.51,5.05,-3.25
8-February-2019,133.00,134.20,128.25,128.85,129.896220130835055596,1053846,4296,136890612.00,128749,12.22,5.95,-4.15
7-February-2019,129.00,137.05,128.20,135.45,133.517459761617576488,771030,4521,102945967.00,164852,21.38,8.85,6.45
6-February-2019,127.00,129.30,125.65,128.55,127.130904664896707434,815838,2447,103718223.00,83400,10.22,3.65,1.55
5-February-2019,128.00,129.85,125.05,126.45,127.500377602411458324,615727,2987,78505425.00,106789,17.34,4.80,-1.55
4-February-2019,130.25,130.25,126.05,127.45,127.904648623624216851,717137,3245,91725156.00,78646,10.97,4.20,-2.80
1-February-2019,130.10,134.70,128.20,130.25,131.337036169572054739,777062,3701,102057020.00,111146,14.30,6.50,0.15
31-January-2019,134.00,134.45,128.35,131.45,130.402141798959613474,475208,2606,61968141.00,105539,22.21,6.10,-2.55
30-January-2019,132.60,133.20,129.30,132.50,131.495868854853137151,547790,2613,72032122.00,84571,15.44,3.90,-0.10
29-January-2019,127.55,132.30,127.15,130.90,129.337537787970395079,613952,2517,79407040.00,119589,19.48,5.15,3.35
28-January-2019,134.50,134.85,124.55,128.10,127.944484497539762524,1568751,15163,200713038.00,311629,19.86,10.30,-6.40
25-January-2019,138.00,138.60,132.80,134.50,135.935170574324184403,724347,3455,98464233.00,132809,18.33,5.80,-3.50
24-January-2019,137.70,138.05,135.80,137.45,136.910637568757291485,396867,2017,54335314.00,72216,18.20,2.25,-0.25
23-January-2019,137.95,138.35,135.70,136.55,136.677406320283612244,393495,2354,53781876.00,61169,15.55,2.65,-1.40
22-January-2019,139.80,140.90,135.25,136.90,137.392284642376783487,1771739,8271,243423269.00,161469,9.11,5.65,-2.90
21-January-2019,140.95,141.80,137.65,140.00,139.859604721735111283,1155338,4853,161585116.00,90436,7.83,4.15,-0.95
18-January-2019,142.35,142.35,138.50,140.60,140.096176199501683391,365631,1871,51223505.00,59347,16.23,3.85,-1.75
17-January-2019,142.15,144.15,140.35,141.45,142.156820205618068485,555885,2523,79022844.00,69846,12.56,3.80,-0.70
16-January-2019,142.20,144.20,141.30,141.95,142.594301652651816751,411944,2326,58740867.00,84088,20.41,2.90,-0.25
15-January-2019,137.35,142.00,137.00,141.00,139.871620872457641800,577220,2953,80736697.00,123727,21.43,5.00,3.65
14-January-2019,140.60,140.65,135.15,136.25,136.615164262338072416,747402,5231,102106447.00,191911,25.68,5.50,-4.35
11-January-2019,145.70,145.70,139.75,141.60,141.141079483589982890,758622,3789,107072728.00,115720,15.25,5.95,-4.10
10-January-2019,144.95,146.00,143.40,144.45,144.509473962310351604,310377,2151,44852417.00,60860,19.61,2.60,-0.50
9-January-2019,149.00,150.10,142.70,144.75,145.359253688820571261,754645,3811,109694634.00,126940,16.82,7.40,-4.25
8-January-2019,144.00,148.80,144.00,148.15,147.720925497620174490,559915,2338,82711162.00,237485,42.41,4.80,4.15
7-January-2019,146.00,148.90,145.30,145.80,146.728007335414887676,460233,2573,67529071.00,109551,23.80,3.60,-0.20
4-January-2019,145.95,146.75,142.40,144.30,144.225428560444987240,676334,7909,97544561.00,162769,24.07,4.35,-1.65
3-January-2019,150.70,151.25,145.00,145.50,147.123143668810762860,556878,5029,81929642.00,122667,22.03,6.25,-5.20
2-January-2019,153.85,154.35,149.70,150.70,151.940732426953651521,376884,3610,57264031.00,70071,18.59,4.65,-3.15
1-January-2019,154.35,154.35,151.80,153.15,152.995587741812608265,220522,1963,33738893.00,40903,18.55,2.55,-1.20
31-December-2018,155.90,156.65,152.20,152.95,153.800187760425097001,432466,2659,66513352.00,94678,21.89,4.45,-2.95
28-December-2018,155.00,156.00,153.50,154.50,154.683212639497221375,331279,2358,51243300.00,43523,13.14,2.50,-0.50
27-December-2018,156.00,156.90,152.85,154.20,155.415660993828450732,454505,4067,70637195.00,99392,21.87,4.05,-1.80
26-December-2018,151.75,155.95,149.55,154.55,153.208153703576577195,582680,3965,89271327.00,87555,15.03,6.40,2.80
24-December-2018,153.30,154.60,149.45,152.40,152.621602719070880271,641984,3725,97980627.00,162401,25.30,5.15,-0.90
21-December-2018,158.45,159.20,150.10,151.25,154.307495156998526068,867747,4363,133899866.00,244587,28.19,9.10,-7.20
20-December-2018,154.95,158.00,153.80,157.15,156.743430071035641671,1065803,4991,167057618.00,223514,20.97,4.20,2.20
19-December-2018,147.60,156.50,147.60,155.60,153.165145969301197651,1586772,7744,243038165.00,409351,25.80,8.90,8.00
18-December-2018,146.90,149.80,145.80,146.90,147.516685596092227854,433188,2470,63902458.00,64646,14.92,4.00,0.00
17-December-2018,147.50,148.00,146.10,147.40,147.096480130062219614,327228,1892,48134087.00,45009,13.75,1.90,-0.10
14-December-2018,145.00,148.35,143.60,146.80,146.766736718684015719,402558,2107,59082124.00,79090,19.65,4.75,1.80
13-December-2018,145.00,148.85,144.20,145.15,146.534367749244621670,827069,3991,121194033.00,166420,20.12,4.65,0.15
12-December-2018,139.35,144.60,138.20,144.15,142.722458820852903217,470323,2749,67125655.00,87675,18.64,6.40,4.80
11-December-2018,132.00,138.70,131.25,137.70,136.022754206037531281,634564,3076,86315143.00,53942,8.50,7.45,5.70
10-December-2018,134.00,135.90,132.05,133.80,134.401001585803652212,411148,2201,55258703.00,83827,20.39,3.85,-0.20
7-December-2018,140.90,140.90,135.65,138.95,138.309761737747646120,1153309,5779,159513893.00,235825,20.45,5.25,-1.95
6-December-2018,142.90,144.80,138.30,139.10,141.983219271761388474,782326,4647,111077164.00,113812,14.55,6.50,-3.80
5-December-2018,145.95,146.00,143.10,144.10,144.010032862055789071,327125,2614,47109282.00,78337,23.95,2.90,-1.85
4-December-2018,144.20,148.00,143.10,145.80,145.729053780065150091,816269,5709,118954109.00,134987,16.54,4.90,1.60
3-December-2018,145.45,145.70,143.15,144.10,144.039264848611719032,420376,2190,60550650.00,84842,20.18,2.55,-1.35
30-November-2018,145.40,145.50,143.45,144.20,144.193610909901743858,757917,3782,109286789.00,121555,16.04,2.05,-1.20
29-November-2018,141.50,145.15,141.20,143.60,143.479014187934169242,1273265,7838,182686807.00,317223,24.91,3.95,2.10
28-November-2018,132.20,139.45,129.15,138.60,136.987755893335118776,2001371,11232,274163322.00,582157,29.09,10.30,6.40
27-November-2018,131.90,132.75,130.60,131.35,131.555501107219292530,538737,2551,70873816.00,142453,26.44,2.15,-0.55
26-November-2018,134.45,134.45,129.60,131.45,131.049643846564140620,560573,2899,73462892.00,142274,25.38,4.85,-3.00
22-November-2018,136.95,136.95,132.80,133.30,134.965907289198364105,460421,2834,62141138.00,96087,20.87,4.15,-3.65
21-November-2018,131.15,137.00,131.00,136.40,134.771837218347213247,660787,3339,89055478.00,152225,23.04,6.00,5.25
20-November-2018,132.50,134.00,130.20,131.20,131.687788579495367316,811085,3454,106809990.00,351356,43.32,3.80,-1.30
19-November-2018,134.00,134.40,132.10,133.65,133.240281468228005287,748930,3033,99787644.00,245577,32.79,2.30,-0.35
16-November-2018,135.90,136.45,131.20,132.45,133.682950738073914051,590659,3461,78961038.00,96591,16.35,5.25,-3.45
15-November-2018,133.05,136.35,131.95,135.55,134.296220804315569905,651038,2942,87431943.00,182815,28.08,4.40,2.50
14-November-2018,136.95,137.30,132.50,133.70,134.781474378210062581,459882,2988,61983574.00,77430,16.84,4.80,-3.25
13-November-2018,133.90,136.75,130.00,135.30,133.324216675099260296,634443,3300,84586616.00,82436,12.99,6.75,1.40
12-November-2018,136.00,136.50,132.45,133.05,133.749062560092301775,374424,2121,50078859.00,98631,26.34,4.05,-2.95
9-November-2018,136.50,137.15,134.10,136.20,135.801708921466800610,352386,2365,47854621.00,84667,24.03,3.05,-0.30
7-November-2018,137.50,137.50,135.80,136.35,136.251413554803021712,130522,1470,17783807.00,92746,71.06,1.70,-1.15
6-November-2018,137.70,137.75,134.35,134.95,135.559783123451671090,475109,2357,64405673.00,93866,19.76,3.40,-2.75
5-November-2018,135.00,138.70,132.75,134.95,135.564295087253458162,1296281,6601,175729420.00,320461,24.72,5.95,-0.05
2-November-2018,137.95,138.35,133.10,133.85,135.714850942514358519,2404844,8189,326373045.00,1465133,60.92,5.25,-4.10
1-November-2018,129.85,136.65,127.95,135.60,132.979468582536357594,1683761,10188,223905643.00,363093,21.56,8.70,5.75
31-October-2018,125.00,128.55,123.25,127.60,126.410046285188739603,1600512,7640,202320796.00,399542,24.96,5.30,2.60
30-October-2018,122.20,126.10,121.35,123.85,124.616063250873539007,932414,6583,116193762.00,169614,18.19,4.75,1.65
29-October-2018,119.80,122.70,116.40,122.20,120.344729229282158377,1011797,5939,121764436.00,182150,18.00,6.30,2.40
26-October-2018,119.10,120.00,115.75,117.65,118.058403362224395392,1910164,8547,225510912.00,719910,37.69,4.25,-1.45
25-October-2018,114.90,122.25,111.20,116.95,117.908781260523363187,3311085,18836,390405997.00,563531,17.02,11.05,2.05
