Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
18-April-2017,123.50,129.40,122.90,124.10,126.101803570357635487,1250575,6824,157699763.00,208076,16.64,6.50,0.60
17-April-2017,121.65,123.55,120.90,123.15,122.330434109327414442,309968,1411,37918520.00,104843,33.82,2.65,1.50
13-April-2017,123.05,123.90,121.05,121.65,122.303829211915042086,183432,1455,22434436.00,67000,36.53,2.85,-1.40
12-April-2017,125.20,126.00,122.70,123.75,124.477476648865075156,511003,3064,63608364.00,112902,22.09,3.30,-1.45
11-April-2017,121.50,125.70,121.50,124.95,123.987625655594405594,329472,5494,40850451.00,134463,40.81,4.20,3.45
10-April-2017,120.70,122.50,119.35,121.95,120.256430258691265193,958865,1678,115309682.00,752432,78.47,3.15,1.25
7-April-2017,122.75,123.55,120.00,120.70,122.039474881393384025,230805,1506,28167321.00,87922,38.09,3.55,-2.05
6-April-2017,123.80,125.00,122.50,123.45,123.620634568591715443,311109,2190,38459492.00,110764,35.60,2.50,-0.35
5-April-2017,123.50,124.95,123.10,123.85,124.078653101182187385,309511,3551,38403708.00,144999,46.85,1.85,0.35
3-April-2017,123.20,124.55,123.00,123.80,123.822646468508076077,209260,1354,25911127.00,76967,36.78,1.55,0.60
31-March-2017,123.00,124.00,121.55,123.45,122.936460911967927768,870535,1966,107020492.00,77336,8.88,2.45,0.45
30-March-2017,123.00,123.90,122.40,123.20,123.226402131914390859,228527,1298,28160560.00,68005,29.76,1.50,0.20
29-March-2017,122.60,123.10,121.45,122.65,122.627879256281445679,520143,2044,63784033.00,120511,23.17,1.65,0.05
28-March-2017,120.80,122.70,118.00,121.70,121.515352811385606244,341273,3172,41469909.00,125762,36.85,4.70,0.90
27-March-2017,120.95,121.35,119.50,120.10,120.138046903689267258,416641,1745,50054436.00,112049,26.89,1.85,-0.85
24-March-2017,122.00,122.55,120.55,120.85,121.486791397185003945,239503,1853,29096451.00,90937,37.97,2.00,-1.15
23-March-2017,122.90,122.90,121.05,121.50,121.683080393969209974,201234,1229,24486773.00,74405,36.97,1.85,-1.40
22-March-2017,121.50,122.85,121.25,121.75,122.043249028038152542,267243,2231,32615204.00,92085,34.46,1.60,0.25
21-March-2017,122.65,123.95,122.25,122.70,122.918264974203110180,412259,2487,50674161.00,183974,44.63,1.70,0.05
20-March-2017,122.10,123.50,121.15,122.70,122.266260325437390626,6128675,3126,749330173.00,5713213,93.22,2.35,0.60
17-March-2017,122.00,124.10,119.90,121.45,121.954028474191582285,831841,4677,101446361.00,170024,20.44,4.20,-0.55
16-March-2017,121.90,123.00,121.50,122.30,122.391832950097651826,375313,2733,45935246.00,142946,38.09,1.50,0.40
15-March-2017,121.50,122.80,120.70,121.00,121.612053563974553772,359346,3109,43700805.00,132936,36.99,2.10,-0.50
14-March-2017,119.95,122.50,119.00,121.55,121.151743412214207686,963943,7009,116783375.00,393864,40.86,3.50,1.60
10-March-2017,119.20,119.80,116.50,117.30,118.244467097478838627,274675,2126,32478799.00,84482,30.76,3.30,-1.90
9-March-2017,119.70,120.20,118.55,118.90,119.419425949563597474,289870,2272,34616109.00,77983,26.90,1.65,-0.80
8-March-2017,120.55,121.45,118.40,120.15,120.258549186154471072,1102912,7578,132634597.00,276546,25.07,3.05,-0.40
7-March-2017,115.00,120.00,114.90,119.65,118.016463553196324297,783306,4748,92443004.00,213119,27.21,5.10,4.65
6-March-2017,115.80,116.30,114.70,115.65,115.563395339714721932,260027,2374,30049603.00,113171,43.52,1.60,-0.15
3-March-2017,113.00,115.75,112.75,115.20,114.269939868227982852,347570,2217,39716803.00,114937,33.07,3.00,2.20
2-March-2017,116.50,118.15,112.75,113.70,116.046502109948551939,432475,3240,50187211.00,138458,32.02,5.40,-2.80
1-March-2017,116.50,117.90,116.00,116.35,116.812443577080346237,301296,1771,35195122.00,120021,39.83,1.90,-0.15
28-February-2017,116.70,117.40,115.90,116.45,116.563442780003483713,229640,1856,26767629.00,83161,36.21,1.50,-0.25
27-February-2017,116.00,118.50,115.40,116.25,116.938187947165657677,523296,3707,61193286.00,156326,29.87,3.10,0.25
23-February-2017,118.00,118.40,115.55,116.30,117.008434160020925719,328782,2940,38470267.00,114437,34.81,2.85,-1.70
22-February-2017,117.50,119.50,116.05,117.10,117.513537371293118348,647984,5158,76146892.00,206343,31.84,3.45,-0.40
21-February-2017,119.00,119.00,116.30,117.50,117.367512253906355783,590832,3626,69344482.00,152365,25.79,2.70,-1.50
20-February-2017,117.40,118.75,116.70,118.20,117.879109284196760848,490931,4696,57870509.00,174846,35.62,2.05,0.80
17-February-2017,115.20,117.85,114.50,117.40,116.343958099297022479,1036164,9753,120551421.00,395692,38.19,3.35,2.20
16-February-2017,110.00,115.00,108.80,114.35,112.615512381567071233,991595,6070,111668979.00,502131,50.64,6.20,4.35
